CG Arrow 005 — commands, checkpoints and timings (Fable in Claude Code)
Start 2026-09-14T10:21:51Z (06:21:51 ET). Deadline 13:21:51Z. Python 3.14.5, thetadata 1.0.10, polars 1.43.2, 8 CPU.

# 0. Pull and read (minute 0–5)
git pull --ff-only origin main                      # 263dd77..ae24604 (CLAUDE.md, Arrow 005 doc)
python -m pytest tests/test_cg_arrow005.py -q --basetemp=data/tmp/cg_arrow005_tests      # 18 passed in 3.01s (minute 20)
#   (first attempt without --basetemp hit a PermissionError on the system pytest temp dir; rerun under ignored lab data/tmp as required)
python -m pytest tests -q --basetemp=data/tmp/cg_arrow005_tests -p no:cacheprovider      # 567 passed in 10.55s (minute 22)

# 5. Reports (minute 20–24); run 4 at 10:45:30Z after removing absolute prices from the public corroboration rows: reports/cg_arrow005_{verification.md,file_changes.md,horizon_report.md,commands.txt,manifest.json,horizon_freeze.json}

# 6. Public-safety inspection, commit e9327d7 pushed 06:46:39 ET (minute 25); remote equality verified

# 7. Follow-up within allocation (minute 25–35)
# ranking cache check: 1,456 cached rank rows (top-8 + 20 random competitors x 52 cohorts) recomputed from raw bars: 0 mismatches;
#   rule-eligible local field vs cached field: 1,922 of 67,477 rows lack a rank endpoint; 9 Nasdaq test symbols in data/ref/symbols_common.parquet
# issuer evidence (WebSearch/WebFetch, sources in reports/cg_arrow005_corporate_actions.json): NVA 5-for-1 split 2025-10-29 (undocumented in Arrow 003),
#   BNAI 1-for-10 reverse split 2025-12-12, PMI/NBY/XNDU/ONEG/SMJF/RGC/AHMA/BATL/POET documented market moves, DFNS unconfirmed
python scripts/cg_arrow005_run.py --workers 8      # run 5, 10:50:14Z: v2 actions (NVA); R1 pinned to inherited events; documented action delta -5,045.90/-6,524.60/-8,580.46
python scripts/cg_arrow005_run.py --workers 8      # run 6, 10:51:19Z: BNAI event added; R2 membership changes vs recorded selection: 0 cohorts
python scripts/cg_arrow005_run.py --workers 8      # run 7, 10:53:29Z: review-resolution annotation; gate unresolved flags 11 -> 2 (test symbol)
python scripts/cg_arrow005_run.py --workers 8      # run 8, 10:55:24Z: remaining resolutions recorded; results otherwise unchanged
python -m pytest tests/test_cg_arrow005.py -q --basetemp=data/tmp/cg_arrow005_tests -p no:cacheprovider   # 18 passed
git status --short; git diff --cached --stat; git check-ignore handoff/outgoing/cg_arrow005/r4r5_verified_trades.csv data/verification/r4r5/v1/pilot.json .env
grep -rniE "api_key=|password=|secret" <staged files>   # expect only the documented placeholder text in the setup instruction

# Gates and outcomes
# Baseline gate: NOT cleared (unresolved exits 37/family, missed entries 7, 2 unresolved identity slots, 13 truncated-field cohorts, no vendor auth).
# Horizon census: NOT_RUN_DATA_GATE. No H1-H9 real-data cell scored; no OOS reveal.
# Acquisition: 0 requests made, 0 bytes; exact request list local at data/verification/r4r5/v1/required_manifest.json (118 windows, 421 symbol-sessions).
# Secondary BRIDGE/S0 reconciliation: not started (budget reserved for primary ledger).
# Errors/retries: none in replay/oracle; pytest temp-dir permission error resolved by --basetemp.

# Local private deliverables (ignored by Git; hashes in reports/cg_arrow005_manifest.json)
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_trade_exceptions_initial.csv
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_trade_exceptions.csv
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_verified_trades.csv
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_verified_cohort_audit.csv
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_cohort_matrix.csv
# C:\Users\james\money_chatgpt\handoff\outgoing\cg_arrow005\r4r5_daily_account.csv
