cohort_id,old_field_size,corrected_field_size,restored_candidates,removed_test_issues,unrankable_no_trading,unrankable_unresolved,old_top8,corrected_top8,added,dropped,rank_changes,membership_changed,ranking_scope
2026-01-14,1304,1328,27,0,3,0,NBY;CRML;GLSI;AHMA;ALMS;BKKT;BIOA;SKYT,INBS;NBY;CRML;GLSI;AHMA;ALMS;BKKT;BIOA,INBS,SKYT,"{""INBS"": [null, 1], ""NBY"": [1, 2], ""CRML"": [2, 3], ""GLSI"": [3, 4], ""AHMA"": [4, 5], ""ALMS"": [5, 6], ""BKKT"": [6, 7], ""BIOA"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-01-21,1321,1353,36,0,4,0,AMCR;CRVS;ALMS;CRML;RCAT;SKYT;UCTT;MRAM,ROLR;CRVS;ALMS;CRML;RCAT;SKYT;UCTT;MRAM,ROLR,AMCR,"{""ROLR"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2026-01-28,1276,1295,26,0,7,0,BNAI;AMCR;CRVS;ERAS;RAPT;HYMC;ASM;ALMS,BNAI;ANPA;CRVS;ERAS;MOVE;RAPT;HYMC;ASM,ANPA;MOVE,AMCR;ALMS,"{""ANPA"": [null, 2], ""MOVE"": [null, 5], ""RAPT"": [5, 6], ""HYMC"": [6, 7], ""ASM"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-02-04,1372,1406,44,0,10,0,BNAI;AMCR;CRVS;HOOZ;RAPT;OKLS;ASM;ERAS,BNAI;CRVS;HOOZ;RAPT;OKLS;ASM;ERAS;PKST,PKST,AMCR,"{""CRVS"": [3, 2], ""HOOZ"": [4, 3], ""RAPT"": [5, 4], ""OKLS"": [6, 5], ""ASM"": [7, 6], ""ERAS"": [8, 7], ""PKST"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-02-11,1271,1301,40,0,10,0,BNAI;NKTR;PLSE;VAL;HOOZ;EVMN;ASM;GOLD,FGL;BNAI;NKTR;PLSE;VAL;HOOZ;ESOA;EVMN,FGL;ESOA,ASM;GOLD,"{""FGL"": [null, 1], ""BNAI"": [1, 2], ""NKTR"": [2, 3], ""PLSE"": [3, 4], ""VAL"": [4, 5], ""HOOZ"": [5, 6], ""ESOA"": [null, 7], ""EVMN"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-02-18,1271,1309,47,0,9,0,SMX;NKTR;FSLY;EVMN;ICHR;CGNX;TPH;AXTI,SMX;NKTR;FSLY;EVMN;ICHR;CGNX;TPH;AXTI,,,{},False,CERTIFIED_RULE_FIELD_10_80
2026-02-25,1322,1364,49,0,7,0,AXTI;FSLY;NKTR;ICHR;EVMN;AEHR;ACHC;OIS,FGL;AXTI;FSLY;NKTR;ICHR;EVMN;AEHR;ACHC,FGL,OIS,"{""FGL"": [null, 1], ""AXTI"": [1, 2], ""FSLY"": [2, 3], ""NKTR"": [3, 4], ""ICHR"": [4, 5], ""EVMN"": [5, 6], ""AEHR"": [6, 7], ""ACHC"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-03-04,1340,1385,52,0,7,0,BATL;FSLY;BNAI;ACHC;FIGS;AXTI;AEHR;PRAA,BATL;NPT;FSLY;BNAI;ACHC;FIGS;AXTI;AEHR,NPT,PRAA,"{""NPT"": [null, 2], ""FSLY"": [2, 3], ""BNAI"": [3, 4], ""ACHC"": [4, 5], ""FIGS"": [5, 6], ""AXTI"": [6, 7], ""AEHR"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-03-11,1334,1387,61,0,8,0,BATL;NCI;AXTI;SOC;BNAI;AMPX;DAWN;TECX,BATL;NCI;AXTI;SOC;BNAI;AMPX;DAWN;TECX,,,{},False,CERTIFIED_RULE_FIELD_10_80
2026-03-18,1309,1363,60,1,5,0,BATL;DAWN;SOC;AMPX;VG;ZD;BW;DNTH,BATL;DAWN;SOC;AMPX;VG;ZD;BW;DNTH,,,{},False,CERTIFIED_RULE_FIELD_10_80
2026-03-25,1308,1360,59,0,7,0,FUBO;QURE;SOC;AXTI;TNGX;DAWN;WATT;AGRO,QURE;SOC;AXTI;TNGX;DAWN;WATT;AGRO;SSL,SSL,FUBO,"{""QURE"": [2, 1], ""SOC"": [3, 2], ""AXTI"": [4, 3], ""TNGX"": [5, 4], ""DAWN"": [6, 5], ""WATT"": [7, 6], ""AGRO"": [8, 7], ""SSL"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-04-01,1383,1418,44,1,8,0,ZVZZT;OKLS;APLS;KOD;TBN;ORKA;FLY;SEDG,UGRO;OKLS;APLS;KOD;TBN;ORKA;FLY;SEDG,UGRO,ZVZZT,"{""UGRO"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2026-04-08,1297,1317,24,0,4,0,FUBO;APLS;SPIR;KOD;AEHR;SLNO;FLY;ELVN,AGL;UGRO;APLS;SPIR;KOD;AEHR;SLNO;FLY,AGL;UGRO,FUBO;ELVN,"{""AGL"": [null, 1], ""UGRO"": [null, 2], ""APLS"": [2, 3], ""SPIR"": [3, 4], ""KOD"": [4, 5], ""AEHR"": [5, 6], ""SLNO"": [6, 7], ""FLY"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-04-15,1297,1311,16,0,2,0,APLS;KOD;CBIO;ANL;AEHR;YSS;AVNS;SGML,BBGI;APLS;KOD;CBIO;ANL;AEHR;YSS;AVNS,BBGI,SGML,"{""BBGI"": [null, 1], ""APLS"": [1, 2], ""KOD"": [2, 3], ""CBIO"": [3, 4], ""ANL"": [4, 5], ""AEHR"": [5, 6], ""YSS"": [6, 7], ""AVNS"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-04-22,1328,1336,17,0,9,0,XNDU;LWLG;POET;NVTS;YSS;MXL;AOSL;JBIO,XNDU;AGL;LWLG;POET;NVTS;YSS;MXL;AOSL,AGL,JBIO,"{""AGL"": [null, 2], ""LWLG"": [2, 3], ""POET"": [3, 4], ""NVTS"": [4, 5], ""YSS"": [5, 6], ""MXL"": [6, 7], ""AOSL"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-04-29,1302,1322,31,0,11,0,XNDU;MXL;OGN;WATT;RMAX;AVNS;SHAZ;ALMU,AKAN;XNDU;MXL;EDSA;OGN;WATT;RMAX;AVNS,AKAN;EDSA,SHAZ;ALMU,"{""AKAN"": [null, 1], ""XNDU"": [1, 2], ""MXL"": [2, 3], ""EDSA"": [null, 4], ""OGN"": [3, 5], ""WATT"": [4, 6], ""RMAX"": [5, 7], ""AVNS"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-05-06,1329,1363,47,0,13,0,BAND;ONEG;SILC;MRAM;WOLF;RMAX;ATOM;ALMU,CUE;AIOS;AKAN;BAND;ONEG;SILC;MRAM;WOLF,CUE;AIOS;AKAN,RMAX;ATOM;ALMU,"{""CUE"": [null, 1], ""AIOS"": [null, 2], ""AKAN"": [null, 3], ""BAND"": [1, 4], ""ONEG"": [2, 5], ""SILC"": [3, 6], ""MRAM"": [4, 7], ""WOLF"": [5, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-05-13,1333,1379,59,0,13,0,MRAM;AGL;RVI;WOLF;BAND;AMBQ;HIMX;QUIK,ERNA;MRAM;AGL;RVI;WOLF;BAND;AMBQ;HIMX,ERNA,QUIK,"{""ERNA"": [null, 1], ""MRAM"": [1, 2], ""AGL"": [2, 3], ""RVI"": [3, 4], ""WOLF"": [4, 5], ""BAND"": [5, 6], ""AMBQ"": [6, 7], ""HIMX"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-05-20,1295,1347,64,0,12,0,BAND;WOLF;POET;AMBQ;MRAM;RVI;OSS;RDW,PIII;BAND;WOLF;POET;AMBQ;MRAM;RVI;OSS,PIII,RDW,"{""PIII"": [null, 1], ""BAND"": [1, 2], ""WOLF"": [2, 3], ""POET"": [3, 4], ""AMBQ"": [4, 5], ""MRAM"": [5, 6], ""RVI"": [6, 7], ""OSS"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-05-27,1342,1364,33,0,11,0,MNTS;CPSH;RDW;TE;ENPH;VELO;AEVA;VOYG,PCLA;MNTS;CPSH;AKTX;RDW;TE;ENPH;VELO,PCLA;AKTX,AEVA;VOYG,"{""PCLA"": [null, 1], ""MNTS"": [1, 2], ""CPSH"": [2, 3], ""AKTX"": [null, 4], ""RDW"": [3, 5], ""TE"": [4, 6], ""ENPH"": [5, 7], ""VELO"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-06-03,1046,1416,377,0,7,0,NCI;MNTS;BRUN;UMAC;TE;PSNL;QMCO;OPTX,ASTC;NCI;MNTS;BRUN;UMAC;SWMR;TE;VSH,ASTC;SWMR;VSH,PSNL;QMCO;OPTX,"{""ASTC"": [null, 1], ""NCI"": [1, 2], ""MNTS"": [2, 3], ""BRUN"": [3, 4], ""UMAC"": [4, 5], ""SWMR"": [null, 6], ""TE"": [5, 7], ""VSH"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-06-10,1024,1382,370,0,12,0,OCC;MNTS;UMAC;OPTX;QMCO;ALOY;CBRL;FWRD,ASTC;STI;OCC;MNTS;SWMR;UMAC;OPTX;QMCO,ASTC;STI;SWMR,ALOY;CBRL;FWRD,"{""ASTC"": [null, 1], ""STI"": [null, 2], ""OCC"": [1, 3], ""MNTS"": [2, 4], ""SWMR"": [null, 5], ""UMAC"": [3, 6], ""OPTX"": [4, 7], ""QMCO"": [5, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-06-17,1006,1366,374,1,13,0,ZVZZT;HQ;QURE;ALOY;QMCO;TNGX;ZSQR;OCC,STI;HQ;QURE;ALOY;QMCO;TNGX;ZSQR;OCC,STI,ZVZZT,"{""STI"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2026-06-24,995,1388,408,0,15,0,DD;HQ;DFTX;QURE;ARQQ;WNC;ALHC;MAAS,DD;HQ;DFTX;QURE;ARQQ;WNC;ALHC;MAAS,,,{},False,CERTIFIED_RULE_FIELD_10_80
2026-07-01,1028,1434,423,0,17,0,SDOT;HQ;ARQQ;BLZE;RGNX;DFTX;FCEL;SLS,SDOT;HQ;ARQQ;BLZE;RGNX;NVCT;DFTX;MBX,NVCT;MBX,FCEL;SLS,"{""NVCT"": [null, 6], ""DFTX"": [6, 7], ""MBX"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-07-08,960,1364,413,0,9,0,MQ;RGNX;BLZE;DFTX;SLS;RPD;QURE;ZBIO,ALIT;MQ;CLRO;RGNX;BLZE;DFTX;SLS;RPD,ALIT;CLRO,QURE;ZBIO,"{""ALIT"": [null, 1], ""MQ"": [1, 2], ""CLRO"": [null, 3], ""RGNX"": [2, 4], ""BLZE"": [3, 5], ""DFTX"": [4, 6], ""SLS"": [5, 7], ""RPD"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-07-15,917,1314,405,0,8,0,MQ;FBRX;TRAX;RPD;PSNL;GRPN;QDEL;COAG,ALIT;VEEE;MQ;FBRX;TRAX;RPD;PSNL;GRPN,ALIT;VEEE,QDEL;COAG,"{""ALIT"": [null, 1], ""VEEE"": [null, 2], ""MQ"": [1, 3], ""FBRX"": [2, 4], ""TRAX"": [3, 5], ""RPD"": [4, 6], ""PSNL"": [5, 7], ""GRPN"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-07-22,907,1317,415,0,5,0,MQ;TRAX;UTZ;COAG;BMNR;VG;RHI;CDNA,ALIT;MQ;VEEE;FBRX;TRAX;UTZ;MAN;PBF,ALIT;VEEE;FBRX;MAN;PBF,COAG;BMNR;VG;RHI;CDNA,"{""ALIT"": [null, 1], ""MQ"": [1, 2], ""VEEE"": [null, 3], ""FBRX"": [null, 4], ""TRAX"": [2, 5], ""UTZ"": [3, 6], ""MAN"": [null, 7], ""PBF"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-07-29,928,1332,406,0,2,0,TRAX;UTZ;CBZ;BLKB;AVTR;ETON;EFOR;EXLS,DFNS;FBRX;TRAX;UTZ;CBZ;BLKB;MAN;AVTR,DFNS;FBRX;MAN,ETON;EFOR;EXLS,"{""DFNS"": [null, 1], ""FBRX"": [null, 2], ""TRAX"": [1, 3], ""UTZ"": [2, 4], ""CBZ"": [3, 5], ""BLKB"": [4, 6], ""MAN"": [null, 7], ""AVTR"": [5, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-08-05,1005,1410,410,0,5,0,UTZ;EFOR;CDNA;CMCO;LIFE;BLKB;PLSE;LBRX,DFNS;FCUV;AMIX;UTZ;EFOR;FBRX;CDNA;CMCO,DFNS;FCUV;AMIX;FBRX,LIFE;BLKB;PLSE;LBRX,"{""DFNS"": [null, 1], ""FCUV"": [null, 2], ""AMIX"": [null, 3], ""UTZ"": [1, 4], ""EFOR"": [2, 5], ""FBRX"": [null, 6], ""CDNA"": [3, 7], ""CMCO"": [4, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-08-12,937,1322,389,0,4,0,DFNS;QMCO;LIFE;VREX;VOYG;EFOR;NIQ;BWMN,DFNS;QMCO;LIFE;VREX;RNG;VOYG;EFOR;HZO,RNG;HZO,NIQ;BWMN,"{""RNG"": [null, 5], ""VOYG"": [5, 6], ""EFOR"": [6, 7], ""HZO"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-08-19,943,1345,410,0,8,0,REPL;ABCL;QMCO;AMLX;SMJF;HTFL;FDMT;VOYG,WETO;BYND;PFSA;IPST;MRNA;REPL;ABCL;QMCO,WETO;BYND;PFSA;IPST;MRNA,AMLX;SMJF;HTFL;FDMT;VOYG,"{""WETO"": [null, 1], ""BYND"": [null, 2], ""PFSA"": [null, 3], ""IPST"": [null, 4], ""MRNA"": [null, 5], ""REPL"": [1, 6], ""ABCL"": [2, 7], ""QMCO"": [3, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-08-26,915,1308,397,0,4,0,REAX;ARCT;ABCL;QMCO;HTFL;ASST;PURR;AMLX,BYND;REAX;ARCT;ABCL;QMCO;EDRY;HTFL;ASST,BYND;EDRY,PURR;AMLX,"{""BYND"": [null, 1], ""REAX"": [1, 2], ""ARCT"": [2, 3], ""ABCL"": [3, 4], ""QMCO"": [4, 5], ""EDRY"": [null, 6], ""HTFL"": [5, 7], ""ASST"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
