avg_loser,avg_winner,best_month,completed,config,config_name,distinct_securities,ending_marked_equity,eventual_completed_trade_pnl,eventual_pnl_of_runoff_trades,filled,flat_months,flats,footnote,hit_rate,identities_hold,intended,largest_single_name_pnl_share,losses,marked_account_pnl_at_2026_08_31,max_drawdown_dollars,max_drawdown_pct_of_peak,mean_gross_exposure,mean_gross_over_marked_equity,median_month,monthly_reconciles,open_documented,p95_gross_over_marked_equity,payoff_ratio,peak_gross_exposure,peak_gross_over_marked_equity,positive_months,post_cutoff_incremental_runoff_pnl,profit_factor,rank_one_entry_notional_share,rank_one_pnl_share,red_months,return_on_starting_equity_pct,runoff_trade_count,split,stale_gross_at_boundary,starting_equity,sum_of_red_months,time_underwater_pct,turnover_entry_notional,view,wins,worst_day,worst_month
-894.95,1223.41,39331.8,215,C2,Off-high substitution,148,173414.13,74499.96,7881.19,216,1,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.586,True,216,0.15,89,73414.13,-35473.63,-26.55,41781.71,0.3436,1688.3,,1,0.813,1.367,148381.85,1.263,7,1176.35,1.9353,0.148,0.5024,4,73.41,16,OOS,2956.97,100000.0,-31243.48,72.91,1075112.89,EQUITY_SCALED,126,-10715.16,-13147.49
-667.42,961.81,42283.44,415,C2,Off-high substitution,248,213413.56,114036.61,4808.58,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5783,True,416,0.1148,175,113413.56,-31016.46,-23.45,64419.34,0.477,11547.81,True,1,0.7581,1.4411,122647.64,1.0979,11,713.57,1.9764,0.1401,0.5952,1,113.41,16,ALL,2956.97,100000.0,-14770.7,76.1,1652177.82,FIXED_DOLLAR,240,-8930.39,-14770.7
-927.25,1536.99,74284.93,415,C2R,"Off-high substitution, evidence-affected cohorts reverted",241,293887.97,194289.3,10210.54,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5663,True,416,0.1109,180,193887.97,-35638.35,-26.07,98816.54,0.6284,12959.14,True,1,0.8901,1.6576,229682.91,1.3646,10,494.16,2.1641,0.1389,0.5953,2,193.89,16,ALL,3032.02,100000.0,-19823.95,76.1,2615499.83,EQUITY_SCALED,235,-14734.63,-18759.4
-626.16,985.29,42283.44,415,C2R,"Off-high substitution, evidence-affected cohorts reverted",241,218743.81,118833.7,3674.59,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5663,True,416,0.1102,180,118743.81,-29461.65,-22.13,64365.32,0.467,11685.64,True,1,0.7422,1.5735,122647.64,1.0745,11,180.41,2.0543,0.1422,0.5827,1,118.74,16,ALL,2956.97,100000.0,-14770.7,76.49,1651904.8,FIXED_DOLLAR,235,-8930.39,-14770.7
-1026.68,1857.06,91399.6,415,C3,Combined reallocation and substitution,248,363431.51,266025.51,19594.04,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5783,True,416,0.1381,175,263431.51,-36334.89,-25.9,106277.99,0.6198,13540.3,True,1,0.9012,1.8088,262696.21,1.4187,10,2681.31,2.4806,0.2049,0.7149,2,263.43,16,ALL,2851.9,100000.0,-23642.93,70.92,2866152.91,EQUITY_SCALED,240,-19278.15,-20880.43
-707.61,1317.12,32152.56,200,C3,Combined reallocation and substitution,146,189297.41,89297.41,0,200,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.57,True,200,0.2807,86,89297.41,-16898.55,-10.27,38886.39,0.2834,5771.47,,0,0.749,1.8614,162079.23,1.0736,7,0,2.4674,0.192,0.8388,5,89.3,0,IS,0,100000.0,-13652.38,77.69,1033659.58,EQUITY_SCALED,114,-11605.62,-4747.82
-913.86,1398.79,45858.34,215,C3,Combined reallocation and substitution,148,193563.97,94914.22,10434.91,216,1,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.586,True,216,0.1899,89,93563.97,-35762.96,-26.48,42535.27,0.3391,2244.46,,1,0.8176,1.5306,150449.54,1.2947,6,1434.34,2.167,0.2218,0.6212,5,93.56,16,OOS,2746.83,100000.0,-29774.22,64.14,1113482.72,EQUITY_SCALED,126,-18055.52,-15031.32
-649.95,1070.75,46589.5,415,C3,Combined reallocation and substitution,248,242528.65,143237.82,5815.01,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5783,True,416,0.1373,175,142528.65,-29360.15,-21.61,63598.32,0.4442,12492.0,True,1,0.7077,1.6474,124102.29,1.0923,10,793.25,2.2593,0.2102,0.7112,2,142.53,16,ALL,2746.83,100000.0,-16799.91,71.31,1652167.76,FIXED_DOLLAR,240,-14353.52,-16307.38
-1009.13,1986.59,97205.04,415,C3R,"Combined, evidence-affected cohorts reverted",241,384350.83,285206.0,16777.13,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5663,True,416,0.1369,180,284350.83,-35163.29,-24.73,110661.34,0.618,15757.81,True,1,0.8997,1.9686,279402.48,1.4158,10,943.39,2.5701,0.2076,0.7101,2,284.35,16,ALL,2881.92,100000.0,-24327.52,70.12,2992471.07,EQUITY_SCALED,235,-19789.63,-21455.29
-611.77,1099.23,46589.5,415,C3R,"Combined, evidence-affected cohorts reverted",241,247999.17,148200.61,4735.73,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5663,True,416,0.1327,180,147999.17,-27826.14,-20.29,63530.32,0.4344,13580.49,True,1,0.69,1.7968,124102.29,1.0654,10,285.53,2.3458,0.2134,0.7013,2,148.0,16,ALL,2746.83,100000.0,-16799.91,70.92,1651938.24,FIXED_DOLLAR,235,-14353.52,-16307.38
