availability,certification,coverage_pct,coverage_tickets,cutoff,feature,formula,lookback,missing_rule,source,units
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,99.3,413,SIGNAL_CLOSE,sc_up_sessions_15,count of positive session log returns in the 15-session window,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,99.3,413,SIGNAL_CLOSE,sc_logret_std_15,population std of session log returns over 15 sessions,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,99.3,413,SIGNAL_CLOSE,sc_gap_share_of_advance,sum of log(open_t/close_{t-1}) over 15 sessions / total log advance; overnight gaps in adjusted units,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_close_vs_high20,close_t / max(high over 21 sessions) - 1,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_close_vs_low20,close_t / min(low over 21 sessions) - 1,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_close_vs_max_close15,close_t / max(close over the last 16 closes) - 1; drawdown already underway,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_sessions_since_max_close15,sessions since the highest close of the last 15 sessions,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_position_in_range20,(close_t - min low) / (max high - min low) over 21 sessions,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_close_location_signal_day,(close - low) / (high - low) on the signal session,1 session,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_signal_day_range_pct,(high - low) / close on the signal session,1 session,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_mean_range_pct_10,mean of (high - low) / close over the last 10 sessions,10 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,"identical to the frozen engine rule, verified against the ledger on every ticket",98.3,409,SIGNAL_CLOSE,sc_volume_ratio_frozen,"signal-session share volume / mean share volume of the prior 20 sessions; exact frozen R5 rule, all 21 sessions required",21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_volume_trend_5_vs_15,mean volume of the 5 sessions before the signal / mean of the 15 before those,20 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_dollar_volume_signal_day,close_t * volume_t on the signal session,1 session,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_dollar_volume_mean20,mean of close*volume over the prior 20 sessions,20 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_dollar_volume_cv20,coefficient of variation of prior-20-session dollar volume,20 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_volume_expansion_15,mean volume over the 15-session window / mean volume of the 6 sessions before it,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,98.3,409,SIGNAL_CLOSE,sc_move_per_volume_unit,|ret15| / volume_expansion_15,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_signal_close_band,"price band of the signal close: [10,20) [20,40) [40,80) else OUTSIDE",1 session,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_documented_action_within_60_sessions,"count of documented corporate actions effective within the 60 sessions ending at the signal, from the certified action table; only actions effective by the signal",60 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,"identical to the frozen engine rule, verified against the ledger on every ticket",100.0,416,SIGNAL_CLOSE,sc_four_state,frozen R5 state from ret3 > 0 and volume_ratio > 1; MISSING_FEATURE when either is absent,21 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,cx_rank_in_eight,rank by frozen 15-session return within the selected eight,cohort,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,cx_ret15_minus_cohort_median,ranking return minus the cohort's median ranking return,cohort,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,cx_gap_to_next_rank,ranking return minus the next lower rank's return (rank 8 uses the field's rank 9),cohort,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,cx_cohort_ret15_spread,rank-1 return minus rank-8 return,cohort,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,cx_ret15_field_percentile,share of the ranked candidate field with a lower ranking return,field,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,ep_prior_selections,"number of earlier cohorts that selected the same symbol, from frozen membership",membership,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,40.9,170,SIGNAL_CLOSE,ep_sessions_since_last_selection,sessions since the previous selection of the same symbol,membership,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,ep_episode,"FIRST, OVERLAPPING_REPEAT (previous hold still open), LATER_REPEAT",membership,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_preorder_price,close of the last fully completed bar before the final regular-hours minute of the entry session (the frozen preorder_ts),entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_overnight_gap_vs_signal_close,entry-session first RTH bar open / signal close (in entry units) - 1,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_signal_close_to_preorder,preorder price / signal close (in entry units) - 1,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_open_to_preorder,preorder price / entry-session open - 1,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_preorder_location_in_partial_range,(preorder - partial low) / (partial high - partial low) through the pre-order bar,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_partial_range_pct,(partial high - partial low) / preorder price,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_partial_volume_vs_elapsed_window_mean,entry-session volume through the pre-order bar / mean volume through the same clock time on the preceding 5 sessions; never divided by a full-session average,entry session + 5,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
"completion of the bar starting at preorder_ts, one minute before the final RTH minute",price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,PRE_ORDER,po_preorder_price_band,price band of the pre-order price,entry session,"None when any required session or bar is absent; never zero, never a favorable state","certified local one-minute tape, entry session bars through preorder_ts",entry-session units; signal close adjusted by actions effective by entry
